date,cases
2021-12-02,49.0
2021-12-03,48.0
2021-12-04,48.0
2021-12-05,48.0
2021-12-06,76.25
2021-12-07,82.5
2021-12-08,77.0
2021-12-09,77.0
2021-12-10,77.0
2021-12-11,77.0
2021-12-12,76.5
2021-12-13,77.0835
2021-12-14,75.875
2021-12-15,75.25
2021-12-16,75.6
2021-12-17,75.6
2021-12-18,75.6
2021-12-19,76.5
2021-12-20,77.75
2021-12-21,75.65
2021-12-22,74.4
2021-12-23,75.65
2021-12-24,75.65
2021-12-25,75.65
2021-12-26,75.65
2021-12-27,80.0
2021-12-28,78.56649999999999
2021-12-29,79.23349999999999
2021-12-30,79.8
2021-12-31,79.8
2022-01-01,79.8
2022-01-02,80.833
2022-01-03,85.8335
2022-01-04,90.95
2022-01-05,93.75
2022-01-06,93.75
2022-01-07,93.75
2022-01-08,94.0
2022-01-09,95.333
2022-01-10,96.15
2022-01-11,95.55
2022-01-12,95.6
2022-01-13,95.8
2022-01-14,95.6
2022-01-15,95.6
2022-01-16,96.0
2022-01-17,96.1
2022-01-18,96.1
2022-01-19,97.1665
2022-01-20,97.1665
2022-01-21,97.333
2022-01-22,97.333
2022-01-23,97.333
2022-01-24,96.333
2022-01-25,96.333
2022-01-26,96.333
2022-01-27,96.333
2022-01-28,96.333
2022-01-29,96.333
2022-01-30,96.0
2022-01-31,93.0
2022-02-01,93.25
2022-02-02,92.667
2022-02-03,92.5
2022-02-04,92.5
2022-02-05,92.5
2022-02-06,91.667
2022-02-07,86.333
2022-02-08,85.5
2022-02-09,85.4165
2022-02-10,85.1
2022-02-11,85.0
2022-02-12,85.0
2022-02-13,81.778
2022-02-14,64.9
2022-02-15,64.5
2022-02-16,64.0
2022-02-17,62.0
2022-02-18,62.0
2022-02-19,62.0
2022-02-20,62.0
2022-02-21,58.5
2022-02-22,57.5665
2022-02-23,54.333
2022-02-24,52.833
2022-02-25,52.833
2022-02-26,52.833
2022-02-27,52.333
2022-02-28,47.8
2022-03-01,43.0
2022-03-02,42.667
2022-03-03,42.667
2022-03-04,41.6
2022-03-05,41.6
2022-03-06,40.9
2022-03-07,37.556
2022-03-08,36.25
2022-03-09,34.5
2022-03-10,30.333
2022-03-11,30.2
2022-03-12,30.2665
2022-03-13,29.575
2022-03-14,26.2665
2022-03-15,26.1665
2022-03-16,25.049999999999997
2022-03-17,25.0
2022-03-18,24.8
2022-03-19,24.8
2022-03-20,24.6
2022-03-21,24.0
2022-03-22,23.0
2022-03-23,22.0
2022-03-24,22.0
2022-03-25,22.0
2022-03-26,22.0
2022-03-27,22.0
2022-03-28,22.0
2022-03-29,21.0
2022-03-30,20.667
2022-03-31,20.3335
2022-04-01,20.0
2022-04-02,20.0
2022-04-03,19.8
2022-04-04,20.0
2022-04-05,20.333
2022-04-06,21.0
2022-04-07,21.1665
2022-04-08,21.0
2022-04-09,21.0
2022-04-10,21.8665
2022-04-11,24.1665
2022-04-12,25.6
2022-04-13,27.0
2022-04-14,29.1665
2022-04-15,29.3665
2022-04-16,29.3665
2022-04-17,30.182000000000002
2022-04-18,32.8335
2022-04-19,33.125
2022-04-20,35.6
2022-04-21,37.0665
2022-04-22,37.9
2022-04-23,37.8
2022-04-24,39.1
2022-04-25,40.0
2022-04-26,41.45
2022-04-27,43.466499999999996
2022-04-28,43.466499999999996
2022-04-29,45.0
2022-04-30,44.6
2022-05-01,45.5
2022-05-02,48.7335
2022-05-03,49.0
2022-05-04,51.5
2022-05-05,51.8
2022-05-06,52.0
2022-05-07,52.0
2022-05-08,53.333
2022-05-09,55.333
2022-05-10,57.333
2022-05-11,57.333
2022-05-12,60.667
2022-05-13,61.0
2022-05-14,61.0
2022-05-15,61.667
2022-05-16,65.0
2022-05-17,66.0
2022-05-18,67.5
2022-05-19,67.8335
2022-05-20,68.2
2022-05-21,68.2
